id,match_type,similarity,similarity_offset,vec_sim,hybrid_sim,levenshtein,stoilos,fuzzy_score,metriclcs,tfidf_cosine,dice,monge_elkan,parent_overlap,children_overlap,avg_context_overlap,prefix_overlap,suffix_overlap,context_string_overlap,context_string_overlap_offset,has_parents,has_children,depth_difference,class
CMT-Meta-Review-CONFERENCE-Review,Type2,0.8529,0.1051,0.3596,0,0.5455,0.8529,0.5161,0.5455,0,0.6154,1,0.2142,0,0.0714,0.0,1.0,0.2142,0.1531,both,none,0.0,N
CMT-ConferenceChair-CONFERENCE-Conference,Type2,0.94,0.0741,0.5587,0.5587,0.625,0.94,0.6087,0.625,0.7071,0.7273,0.7746,0,0,0,1.0,0.0,0.5,-0.0722,one,one,0.5,N
CMT-PaperAbstract-CONFERENCE-Abstract,Type2,0.881,0.0143,0.6402,0.6402,0.5714,0.881,0.5,0.5714,0.8293,0.6667,0.7746,0.1402,0,0.0467,0.0,1.0,0.1402,0.0568,both,none,0.0,Y
CMT-Rejection-CONFERENCE-Rejected_contribution,Type2,0.8862,0.3926,0.2955,0.2955,0.4286,0.8862,0.2623,0.4286,0,0.4615,0.6693,0.1829,0,0.1494,0.6666666666666666,0.4444444444444444,0.1829,0.1829,both,none,0.0,N
CMT-Meta-Reviewer-CONFERENCE-Reviewer,Type2,0.881,0.0652,0.4104,0,0.6154,0.881,0.5946,0.6154,0,0.7059,1,0.1755,0,0.0585,0.0,1.0,0.1755,0.1065,both,none,0.0,N
CMT-ConferenceMember-CONFERENCE-Conference,Type2,0.9308,0.0774,0.5257,0.5257,0.5882,0.9308,0.5714,0.5882,0.6469,0.6957,0.8165,0,0.5203,0.1734,1.0,0.0,0.1995,-0.0295,one,both,0.16666666666666663,N
CMT-ConferenceChair-CONFERENCE-Chair,Type3,0.775,-0.165,0.5587,0.5587,0.3125,0.775,0.2391,0.3125,0.7071,0.3529,0.7746,0.6598,0,0.352,0.2,1.0,0.6598,0.1598,both,none,0.0,N
CMT-ProgramCommitteeMember-CONFERENCE-Committee_member,Type3,0.9054,-0.0472,0.7241,0.7241,0.6667,0.9054,0.6571,0.6667,0.829,0.7778,0.8498,1,0.4515,0.8172,0.0,1.0,0.5121,0.1459,both,both,0.0,N
CMT-AuthorNotReviewer-CONFERENCE-Contribution_1th-author,Type4,0.4091,-0.008,0.2757,0.0283,0.2083,0.4091,0,0.25,0,0.2051,0.5204,0.5035,0,0.426,0.0,0.05263157894736842,0.5035,0,both,none,0.0,N
CMT-Paper-CONFERENCE-Regular_contribution,Type4,0.4094,0.0115,0.0834,0.0834,0.1,0,0.0172,0.1,0,0,0.2,0.1786,0.6402,0.3365,0.0,0.0,0.6567,0.3202,both,both,0.13333333333333341,N
CMT-Person-CONFERENCE-Committee,Type4,0.3866,-0.6134,0.1531,0.1531,0,0,0,0.1111,0,0,0.1667,0,0.7732,0.2577,0.0,0.0,0.4019,-0.2274,none,both,0.0,N
CMT-Chairman-CONFERENCE-Committee_member,Type4,0.5,0,0.4771,0.4771,0.1875,0.05,0.0217,0.1875,0,0,0.1559,1,0,0.5727,0.125,0.0,0.2533,-0.225,both,one,0.33333333333333337,N
CMT-Co-author-CONFERENCE-Contribution_1th-author,Type4,0.6966,-0.2203,0.2745,0,0.375,0.6966,0.0571,0.375,0,0.3448,0.5092,0.5035,0,0.2764,0.2222222222222222,0.7777777777777778,0.5035,0,both,none,0.0,N
CMT-ExternalReviewer-CONFERENCE-Committee_member,Type4,0.5,0,0.123,0.123,0.1765,0,0,0.3529,0,0,0.3118,1,0,0.5727,0.0,0.125,0.2533,-0.225,both,one,0.33333333333333337,N
CMT-ConferenceChair-CONFERENCE-Active_conference_participant,Type4,0.6217,0.0075,0.4503,0.4503,0.4483,0.6217,0.0118,0.4483,0.1937,0.4878,0.5701,0.718,0,0.4072,0.0,0.0,0.6895,-0.0286,both,none,0.0,N
CMT-Reviewer-CONFERENCE-Regular_author,Type4,0.5252,0.1388,0.2047,0.2047,0.2143,0.1,0.1,0.2143,0,0,0.2542,0.6609,0.3894,0.5002,0.25,0.125,0.4722,0.0983,both,both,0.0,N
CMT-Review-CONFERENCE-Conference_contribution,Type4,0.3408,0.0386,0.1052,0.1052,0.1304,0,0,0.1304,0,0,0.2887,0.5673,0.1144,0.3498,0.0,0.0,0.3351,0.04,both,both,0.0,N
CMT-ConferenceMember-CONFERENCE-Committee_member,Type4,0.7794,0.0276,0.6598,0.6598,0.5882,0.6173,0.1224,0.6471,0.6524,0.4138,0.6455,1,0.5587,0.705,0.125,0.5,0.459,-0.0628,both,both,0.0,N
CMT-ProgramCommitteeChair-CONFERENCE-Chair,Type4,0.6923,0.1718,0.4515,0.4515,0.2174,0.6923,0.1642,0.2174,0.5774,0.25,0.6831,0.7241,0,0.2414,0.0,1.0,0.7241,0,both,none,0.0,N
CMT-AssociatedChair-CONFERENCE-Active_conference_participant,Type4,0.359,0,0.1976,0.1976,0.2069,0.05,0.0471,0.2759,0,0,0.2739,0.718,0,0.4072,0.0625,0.0,0.6895,-0.0286,both,none,0.0,N
CMT-User-CONFERENCE-Conference_contributor,Type4,0.7517,0.0991,0.069,0.069,0.0909,0,0,0.0909,0,0,0.433,1,0.5035,0.7425,0.0,0.25,0.3726,0.0068,both,both,0.0,N
CMT-AuthorNotReviewer-CONFOF-Author,Type1,0.8565,0.5886,0.4761,0.4761,0.3158,0.8565,0.2909,0.3158,0.55,0.381,0.7071,0.0983,0,0.0912,1.0,0.16666666666666666,0.0983,0,both,none,0.0,N
CMT-Person-CONFOF-Person,Type1,1,0.5849,1,1,1,1,1,1,1,1,1,0,0.5262,0.1754,1.0,1.0,0.385,-0.0481,none,both,0.0,Y
CMT-ConferenceChair-CONFOF-Conference,Type1,0.94,0.2907,0.5587,0.5587,0.625,0.94,0.6087,0.625,0.7071,0.7273,0.7746,0.2533,0,0.1472,1.0,0.0,0.2533,0.0762,both,none,0.0,N
CMT-Author-CONFOF-Author,Type1,1,0.5368,1,1,1,1,1,1,1,1,1,0.3472,0,0.4491,1.0,1.0,0.1514,0,both,one,0.25,Y
CMT-Conference-CONFOF-Conference,Type1,1,0.5807,1,1,1,1,1,1,1,1,1,0,0,0,1.0,1.0,0,0,one,none,0.0,Y
CMT-Document-CONFOF-Paper,Type1,0.4488,0.1947,0.4488,0.4488,0.125,0,0,0.125,0,0,0.2,0,0,0,0.0,0.0,0.0426,0,one,one,0.6666666666666667,N
CMT-PaperAbstract-CONFOF-Paper,Type1,0.8667,0.2989,0.6402,0.6402,0.3571,0.8667,0.325,0.3571,0.5588,0.4,0.7746,0.0319,0,0.1585,1.0,0.0,0.0319,0,both,none,0.0,N
CMT-PaperFullVersion-CONFOF-Short_paper,Type1,0.509,-0.3339,0.4435,0.4435,0.1667,0.509,0.0192,0.2778,0.2706,0.24,0.5292,0.0319,0,0.224,0.0,0.0,0.0319,0,both,none,0.0,N
CMT-AssociatedChair-CONFOF-Chair_PC,Type1,0.622,0.329,0.5434,0.5434,0.1875,0.622,0.2391,0.3125,0.4343,0.3,0.75,0.177,0,0.3923,0.0,0.0,0.177,0,both,none,0.0,N
CMT-Paper-CONFOF-Paper,Type1,1,0.1667,1,1,1,1,1,1,1,1,1,0.061,0,0.055,1.0,1.0,0.0432,0,both,one,0.33333333333333337,N
CMT-Chairman-CONFOF-Member,Type1,0.5381,0.0381,0.5381,0.5381,0,0,0.0455,0.125,0,0,0.1667,0.4151,0,0.2126,0.0,0.0,0.4151,-0.5849,both,none,0.0,N
CMT-ProgramCommitteeMember-CONFOF-Member,Type1,0.7143,0.1133,0.4559,0.4559,0.25,0.7143,0.1429,0.25,0.6403,0.3077,0.6872,0.4151,0,0.2126,0.0,1.0,0.2578,-0.0249,both,one,0.33333333333333337,N
CMT-ConferenceMember-CONFOF-Member_PC,Type1,0.662,-0.1108,0.5262,0.5262,0.1765,0.662,0.3265,0.3529,0.5392,0.3636,0.75,1,0,0.4716,0.0,0.0,0.2218,-0.0161,both,one,0.33333333333333337,N
CMT-ProgramCommitteeChair-CONFOF-Chair_PC,Type1,0.5618,0.2728,0.4515,0.4515,0.1304,0.5618,0.1642,0.2174,0.4488,0.2222,0.7071,0.1776,0,0.0592,0.0,0.0,0.1776,-0.0789,both,none,0.0,Y
CMT-Administrator-CONFOF-Administrator,Type1,1,0.4862,1,1,1,1,1,1,1,1,1,0.3472,0,0.4491,1.0,1.0,0.3472,0,both,none,0.0,Y
CMT-Review-CONFOF-Reviewing_event,Type2,0.88,0.0467,0.3457,0.3457,0.4,0.88,0.3721,0.4,0,0.4706,0.866,0.1434,0,0.0793,1.0,0.0,0.0997,0,both,one,0.33333333333333337,N
CMT-Co-author-CONFOF-Author,Type2,0.9,0.4852,0.4062,0,0.6667,0.9,0.64,0.6667,0,0.7273,1,0.0983,0,0.1221,0.0,1.0,0.0983,0.0924,both,none,0.0,N
CMT-ConferenceMember-CONFOF-Conference,Type2,0.9308,0.158,0.5257,0.5257,0.5882,0.9308,0.5714,0.5882,0.6469,0.6957,0.8165,0.1194,0,0.1174,1.0,0.0,0.1642,-0.0737,both,one,0.33333333333333337,N
CMT-ConferenceMember-CONFOF-Member,Type3,0.7727,-0.158,0.5257,0.5257,0.3529,0.7727,0.3265,0.3529,0.7626,0.4211,0.8165,0.4151,0,0.2126,0.0,1.0,0.2379,0.0737,both,one,0.33333333333333337,Y
CMT-Paper-CONFOF-Contribution,Type4,0.3201,0.1462,0.0319,0.0319,0.0833,0,0,0.0833,0,0,0.2,0,0.6402,0.2337,0.0,0.0,0.5243,0.3703,one,both,0.16666666666666663,Y
CMT-Person-CONFOF-Participant,Type4,0.4151,-0.5849,0.4151,0.4151,0.2727,0.05,0.0323,0.2727,0,0,0.1667,0,0.5381,0.1794,0.16666666666666666,0.0,0.4332,0.0481,one,both,0.16666666666666663,N
CMT-Chairman-CONFOF-Science_Worker,Type4,0.5,0,0.1234,0.1234,0.1429,0,0,0.2143,0,0,0.1606,1,0,0.5087,0.0,0.0,1,0,both,none,0.0,N
CMT-ExternalReviewer-CONFOF-Science_Worker,Type4,0.5,0,0.1752,0.1752,0.2941,0,0,0.3529,0,0,0.3212,1,0,0.5087,0.0,0.14285714285714285,1,0,both,none,0.0,N
CMT-ProgramCommitteeMember-CONFOF-Participant,Type4,0.6445,0.1445,0.2564,0.2564,0.1667,0.05,0.0429,0.2083,0,0,0.1875,1,0.2889,0.763,0.09090909090909091,0.0,0.5328,0.25,both,both,0.0,N
CMT-Reviewer-CONFOF-Participant,Type4,0.2236,0.034,0.2236,0.2236,0.1818,0,0,0.1818,0,0,0.125,0.3472,0.0703,0.4725,0.0,0.0,0.3028,0.0077,both,both,0.08333333333333337,N
CMT-Author-CONFOF-Participant,Type4,0.2437,0.0056,0.1795,0.1795,0.1818,0,0,0.1818,0,0,0.1667,0.3472,0.1401,0.4958,0.0,0.0,0.2738,-0.1549,both,both,0.08333333333333337,N
CMT-Review-CONFOF-Administrative_event,Type4,0.215,0.0734,0.1193,0.1193,0.15,0,0,0.2,0,0,0.433,0.1258,0.3043,0.1515,0.0,0.0,0.2044,0.0257,both,both,0.0,N
CMT-Document-CONFOF-Contribution,Type4,0.5,0.1584,0.061,0.061,0.1667,0,0.0294,0.25,0,0,0.25,0,1,0.3333,0.0,0.0,0.5957,0.4317,none,both,0.16666666666666669,N
CMT-ConferenceMember-CONFOF-Participant,Type4,0.7279,0.2279,0.2544,0.2544,0.1176,0,0,0.1176,0,0,0.1491,1,0.4559,0.6372,0.0,0.0,0.4134,0.1916,both,both,0.0,N
CMT-User-CONFOF-Participant,Type4,0.6687,0.1687,0.3136,0.3136,0,0,0,0.0909,0,0,0.25,1,0.3373,0.6212,0.0,0.0,0.4388,0.0732,both,both,0.0,N
CMT-AuthorNotReviewer-EDAS-Reviewer,Type1,0.82,-0.0365,0.4764,0.4764,0.4211,0.82,0.3636,0.4211,0.4666,0.5217,0.6236,0,0,0,0.0,1.0,0,-0.282,one,none,0.0,N
CMT-Person-EDAS-Person,Type1,1,0.6221,1,1,1,1,1,1,1,1,1,0,0.7496,0.2499,1.0,1.0,0.5428,0.3674,none,both,0.0,Y
CMT-ExternalReviewer-EDAS-Reviewer,Type1,0.8333,0.288,0.5564,0.5564,0.4706,0.8333,0.4082,0.4706,0.5588,0.5714,0.7906,0,0,0,0.0,1.0,0,-0.0948,one,none,0.0,N
CMT-ConferenceChair-EDAS-ConferenceChair,Type1,1,0.3076,1,1,1,1,1,1,0.978,1,1,0.177,0,0.2488,1.0,1.0,0.177,0,both,none,0.0,Y
CMT-Reviewer-EDAS-Reviewer,Type1,1,0.0429,1,1,1,1,1,1,1,1,1,0,0,0,1.0,1.0,0,-0.1136,one,one,0.25,Y
CMT-Author-EDAS-Author,Type1,1,0.6311,1,1,1,1,1,1,1,1,1,0,0.1676,0.0559,1.0,1.0,0.1598,0.1598,one,both,0.25,Y
CMT-Review-EDAS-Review,Type1,1,0.1,1,1,1,1,1,1,1,1,1,1,0,0.6667,1.0,1.0,0.342,0.161,both,one,0.33333333333333337,Y
CMT-Conference-EDAS-Conference,Type1,1,0.0778,1,1,1,1,1,1,1,1,1,0,0,0,1.0,1.0,1,0,none,none,0.0,Y
CMT-Document-EDAS-Document,Type1,1,0.5512,1,1,1,1,1,1,1,1,1,0,1,0.3333,1.0,1.0,0.3452,-0.2296,none,both,0.16666666666666669,Y
CMT-PaperAbstract-EDAS-PublishedPaper,Type1,0.6898,-0.1768,0.6898,0.6898,0.1333,0.5074,0.0233,0.3333,0.2698,0.24,0.6,1,0,0.4694,0.07142857142857142,0.0,1,0.4514,both,none,0.0,N
CMT-PaperFullVersion-EDAS-PublishedPaper,Type1,0.5,-0.1994,0.4217,0.4217,0.1111,0.4687,0.0385,0.3333,0.2077,0.2069,0.6378,1,0,0.5249,0.06666666666666667,0.0,1,0.9168,both,none,0.0,N
CMT-AssociatedChair-EDAS-SessionChair,Type1,0.5693,0.0106,0.5693,0.5693,0.5,0.4793,0.0435,0.5625,0.3951,0.32,0.6786,0.177,0,0.3923,0.0,0.46153846153846156,0.177,0,both,none,0.0,N
CMT-Paper-EDAS-Paper,Type1,1,0.2132,1,1,1,1,1,1,1,1,1,1,0.6898,0.8966,1.0,1.0,0.6175,0.1355,both,both,0.0,Y
CMT-ProgramCommitteeMember-EDAS-TPCMember,Type1,0.5628,0.0628,0.4559,0.4559,0.3333,0.5628,0.0143,0.375,0.4527,0.3333,0.6086,1,0,0.6667,0.0,0.7,0.2827,0,both,one,0.33333333333333337,N
CMT-ConferenceMember-EDAS-ConferenceChair,Type1,0.8185,0.0272,0.7496,0.7496,0.7059,0.8185,0.6327,0.7059,0.3519,0.6207,0.6325,1,0,0.4853,0.6875,0.0625,0.2218,0.2218,both,one,0.33333333333333337,N
CMT-ProgramCommitteeChair-EDAS-SessionChair,Type1,0.5026,0.0061,0.5026,0.5026,0.3043,0.4201,0,0.3043,0.4082,0.25,0.5292,0.1776,0,0.0592,0.0,0.46153846153846156,0.1776,0,both,none,0.0,N
CMT-AuthorNotReviewer-EDAS-Author,Type2,0.8565,0.0365,0.4761,0.4761,0.3158,0.8565,0.2909,0.3158,0.55,0.381,0.7071,0,0,0,1.0,0.16666666666666666,0.282,0.282,one,one,0.5,N
CMT-Meta-Review-EDAS-Review,Type2,0.8529,0.1051,0.3596,0,0.5455,0.8529,0.5161,0.5455,0,0.6154,1,0.2714,0,0.0905,0.0,1.0,0.2714,0.2714,both,none,0.0,N
CMT-PaperAbstract-EDAS-Paper,Type2,0.8667,0.0972,0.6402,0.6402,0.3571,0.8667,0.325,0.3571,0.5588,0.4,0.7746,0.4488,0,0.2,1.0,0.0,0.5486,0.0087,both,one,0.33333333333333337,N
CMT-Co-author-EDAS-Author,Type2,0.9,0.8,0.4062,0,0.6667,0.9,0.64,0.6667,0,0.7273,1,0,0,0,0.0,1.0,0.282,0.2695,one,one,0.5,N
CMT-Meta-Reviewer-EDAS-Reviewer,Type2,0.881,0.0652,0.4104,0,0.6154,0.881,0.5946,0.6154,0,0.7059,1,0,0,0,0.0,1.0,0,-0.138,one,none,0.0,N
CMT-ConferenceMember-EDAS-Conference,Type2,0.9308,0.1122,0.5257,0.5257,0.5882,0.9308,0.5714,0.5882,0.6469,0.6957,0.8165,0,0,0,1.0,0.0,0,-0.2218,one,one,0.33333333333333337,N
CMT-AuthorNotReviewer-EDAS-Presenter,Type4,0.5,0.3098,0.1676,0.1676,0.2105,0,0,0.2632,0,0,0.3909,1,0,0.3333,0.0,0.2222222222222222,1,0.7335,both,none,0.0,N
CMT-Meta-Review-EDAS-AcceptRating,Type4,0.3069,0,0.1047,0,0.2308,0,0.027,0.3077,0,0,0.2282,0.6138,0,0.2046,0.0,0.0,0.6138,0,both,none,0.0,N
CMT-Chairman-EDAS-SessionChair,Type4,0.6279,0.0186,0.3563,0.3563,0.1538,0.6279,0,0.3846,0,0.3529,0.7559,1,0,0.5832,0.0,0.0,1,0,both,none,0.0,N
CMT-Co-author-EDAS-Presenter,Type4,0.5,0.3667,0.1534,0,0.1111,0,0,0.2222,0,0,0.1111,1,0,0.3333,0.0,0.1111111111111111,1,0.7335,both,none,0.0,N
CMT-ExternalReviewer-EDAS-SessionChair,Type4,0.5,0,0.0863,0.0863,0.2353,0,0,0.2941,0,0,0.1852,1,0,0.5832,0.0,0.07692307692307693,1,0,both,none,0.0,N
CMT-ConferenceChair-EDAS-NonAcademicEvent,Type4,0.3398,0,0.2214,0.2214,0.2222,0,0.0192,0.3333,0,0,0.4692,0.6795,0,0.2968,0.0,0.0,0.3341,-0.0624,both,one,0.5,N
CMT-ProgramCommitteeMember-EDAS-SessionChair,Type4,0.5,0,0.3357,0.3357,0.1667,0,0,0.2083,0,0,0.1915,1,0,0.6667,0.0,0.07692307692307693,0.2827,0,both,one,0.33333333333333337,N
CMT-Reviewer-EDAS-NonAcademicEvent,Type4,0.3919,0.0122,0.0387,0.0387,0.2222,0,0,0.2222,0,0,0.3227,0.6795,0.1043,0.3462,0.0,0.0,0.3618,-0.0463,both,both,0.25,N
CMT-Author-EDAS-AcademicEvent,Type4,0.4308,0.0411,0.0872,0.0872,0.0714,0.05,0.025,0.1429,0,0,0.1915,0.6795,0.182,0.369,0.16666666666666666,0.0,0.4208,0.1986,both,both,0.08333333333333337,N
CMT-Review-EDAS-Paper,Type4,0.5527,0.0527,0.1027,0.1027,0.1667,0,0,0.1667,0,0,0.2,1,0.1054,0.4027,0.0,0.0,0.356,0.014,both,both,0.0,N
CMT-PaperAbstract-EDAS-WithdrawnPaper,Type4,0.5348,-0.2347,0.5348,0.5348,0.1333,0.4759,0,0.3333,0.2698,0.24,0.625,1,0,0.4739,0.0,0.0,1,0.4601,both,none,0.0,N
CMT-ConferenceMember-EDAS-Person,Type4,0.5,0,0.177,0.177,0.1176,0,0,0.1765,0,0,0.3333,0,1,0.3333,0.0,0.0,0.549,0.3272,one,both,0.16666666666666663,N
CMT-PaperFullVersion-EDAS-WithdrawnPaper,Type4,0.5,0,0.3975,0.3975,0.1111,0.4354,0,0.2778,0.2077,0.2069,0.5292,1,0,0.5633,0.0,0.0,1,0.4601,both,none,0.0,N
CMT-AssociatedChair-EDAS-NonAcademicEvent,Type4,0.3398,0,0.1364,0.1364,0.1667,0,0,0.2778,0,0,0.2966,0.6795,0,0.3115,0.0,0.0,0.3341,-0.0624,both,one,0.5,N
CMT-User-EDAS-SessionChair,Type4,0.5,0,0.0492,0.0492,0.1538,0,0.1081,0.2308,0,0,0.433,1,0,0.5832,0.0,0.25,0.3656,0,both,one,0.33333333333333337,N
CMT-AuthorNotReviewer-EKAW-Possible_Reviewer,Type1,0.5963,0.0414,0.535,0.535,0.4737,0.5963,0,0.5263,0.33,0.4375,0.5774,0.0983,0,0.1682,0.0,0.5294117647058824,0.0816,-0.0166,both,one,0.5,N
CMT-Person-EKAW-Person,Type1,1,0.6634,1,1,1,1,1,1,1,1,1,0,0.718,0.2393,1.0,1.0,0.5088,0.3333,none,both,0.0,Y
CMT-ExternalReviewer-EKAW-Possible_Reviewer,Type1,0.6111,0.102,0.5932,0.5932,0.5294,0.6111,0,0.5882,0.3951,0.4667,0.5929,1,0,0.5727,0.0,0.5294117647058824,0.4727,0.4116,both,one,0.5,N
CMT-ConferenceChair-EKAW-Conference_Banquet,Type1,0.8061,0.1137,0.7097,0.7097,0.6111,0.8061,0.5962,0.6667,0.3391,0.6,0.6,0.2131,0,0.1265,0.6875,0.0,0.2131,-0.409,both,none,0.0,N
CMT-Reviewer-EKAW-Possible_Reviewer,Type1,0.8333,-0.1238,0.5,0.5,0.4706,0.8333,0,0.4706,0.7071,0.5714,0.75,0.3472,0.1069,0.3663,0.0,1.0,0.2868,0.0313,both,both,0.25,N
CMT-Author-EKAW-Paper_Author,Type1,0.9333,0.4644,0.6171,0.6171,0.5,0.8529,0,0.5,0.9333,0.5714,0.7746,0.3472,0,0.3307,0.0,1.0,0.1514,-0.1649,both,one,0.25,Y
CMT-Review-EKAW-Review,Type1,1,0.1842,1,1,1,1,1,1,1,1,1,1,0.3864,0.7955,1.0,1.0,0.6272,0.2896,both,both,0.0,Y
CMT-Conference-EKAW-Conference,Type1,1,0.0778,1,1,1,1,1,1,1,1,1,0,0,0,1.0,1.0,0,0,one,none,0.0,Y
CMT-Document-EKAW-Document,Type1,1,0.5512,1,1,1,1,1,1,1,1,1,0,1,0.3333,1.0,1.0,0.3073,-0.2503,none,both,0.16666666666666669,Y
CMT-PaperAbstract-EKAW-Paper,Type1,0.8667,-0.0143,0.6402,0.6402,0.3571,0.8667,0.325,0.3571,0.5588,0.4,0.7746,0.4488,0,0.2157,1.0,0.0,0.5319,0.341,both,one,0.33333333333333337,N
CMT-PaperFullVersion-EKAW-Demo_Paper,Type1,0.5358,0.0358,0.509,0.509,0.1667,0.5358,0,0.2778,0.1976,0.25,0.5401,1,0,0.5412,0.0,0.0,1,0,both,none,0.0,N
CMT-AssociatedChair-EKAW-Session_Chair,Type1,0.5693,0.0102,0.5693,0.5693,0.5,0.4793,0.0435,0.5625,0.4185,0.32,0.6786,0.718,0,0.4667,0.0,0.46153846153846156,0.6221,0,both,none,0.0,N
CMT-Paper-EKAW-Paper,Type1,1,0.1687,1,1,1,1,1,1,1,1,1,1,0.6236,0.8745,1.0,1.0,0.614,0.132,both,both,0.0,Y
CMT-ProgramCommitteeMember-EKAW-Agency_Staff_Member,Type1,0.5488,-0.0522,0.5488,0.5488,0.4167,0.4091,0.0143,0.4167,0.2948,0.2564,0.4692,1,0,0.5727,0.0,0.3684210526315789,0.2827,-0.29,both,one,0.33333333333333337,N
CMT-ConferenceMember-EKAW-Conference_Participant,Type1,0.8462,0.0549,0.718,0.718,0.5,0.7507,0.4844,0.5455,0.383,0.5143,0.6236,1,0.6924,0.7619,0.6470588235294118,0.0,0.4572,0.2925,both,both,0.0,Y
CMT-ProgramCommitteeChair-EKAW-Workshop_Chair,Type1,0.5468,0.0168,0.5468,0.5468,0.3913,0.4037,0,0.3913,0.3766,0.2424,0.535,0.4559,0,0.152,0.0,0.42857142857142855,0.4237,0,both,none,0.0,N
